Year,Owner,OwnerID,OwnerTeamName,OwnerTeamID
2023,Jody,271999,San Fran Man,5
2023,Dajuan,276726,Gang Green,6
2023,Waso,378644,Deus N9ne Sacks,3
2023,John,793573,The Huskies,8
2023,romain,1360516,Fins High Motors,1
2023,Rochas,2012141,Pats dream,7
2023,Lorenzo,2017413,Brindisi Deers,11
2023,Matt,3190107,The Goshawks,9
2023,Tomas,5892024,Redneck Bama,12
2023,Mikell,6014430,wakekek,4
2023,Ali,6374040,West coast rough riders,15
2023,LUCIAN,7582304,Red Rockets,2
2023,Michael,7611079,VaJJ 2 - MegaBallers Studfarm,16
2023,Francesco,10808626,Vauxhall Desperados,13
2023,Ignacio,12608269,Thunder Clowns,17
2023,grady,17510577,BirdGang69,10
2022,Jody,271999,San Fran Man,5
2022,Dajuan,276726,Gang Green,6
2022,Waso,378644,Deus N9ne Sacks,3
2022,John,793573,The Huskies,8
2022,Andreas,1088807,Viennese Agents,14
2022,romain,1360516,Fins High Motors,1
2022,Rochas,2012141,Pats dream,7
2022,Lorenzo,2017413,Brindisi Deers,11
2022,Matt,3190107,The Goshawks,9
2022,Tomas,5892024,Redneck Bama,12
2022,Mikell,6014430,Mdz,4
2022,LUCIAN,7582304,Red Rockets,2
2022,Michael,7611079,VaJJ 2 - MegaBallers Studfarm,16
2022,Francesco,10808626,Vauxhall Desperados,13
2022,Ignacio,12608269,Thunder Clowns,17
2022,grady,17510577,BirdGang69,10
2021,Jody,271999,San Fran Man,5
2021,Dajuan,276726,Gang Green,6
2021,Waso,378644,Deus N9ne Sacks,3
2021,John,793573,The Huskies,8
2021,Andreas,1088807,Viennese Agents,14
2021,Chris,1191284,How I Lucked Your Mother,4
2021,romain,1360516,Fins High Motors,1
2021,Rochas,2012141,Pats dream,7
2021,Lorenzo,2017413,Brindisi Deers,11
2021,DB,2442650,JUGGERNOTT,10
2021,Matt,3190107,The Goshawks,9
2021,Tomas,5892024,Redneck Bama,12
2021,LUCIAN,7582304,Red Rockets,2
2021,Michael,7611079,VaJJ 2 - MegaBallers Studfarm,16
2021,Francesco,10808626,Vauxhall Desperados,13
2021,Ignacio,12608269,Thunder Clowns,17
2020,Jody,271999,San Fran Man,5
2020,Dajuan,276726,Gang Green,6
2020,John,793573,The Huskies,8
2020,Ken,827363,MayanStorm,3
2020,Andreas,1088807,Viennese Agents,14
2020,Chris,1191284,How I Lucked Your Mother,4
2020,romain,1360516,Fins High Motors,1
2020,Rochas,2012141,Pats dream,7
2020,Lorenzo,2017413,Brindisi Deers,11
2020,DB,2442650,JUGGERNOTT,10
2020,Matt,3190107,The Goshawks,9
2020,Tomas,5892024,Redneck Bama,12
2020,LUCIAN,7582304,Red Rockets,2
2020,Michael,7611079,VaJJ 2 - MegaBallers Studfarm,16
2020,Francesco,10808626,Vauxhall Desperados,13
2020,Ignacio,12608269,Thunder Clowns,17
2019,Jody,271999,San Fran Man,5
2019,Dajuan,276726,Gang Green,6
2019,John,793573,The Huskies,8
2019,Ken,827363,MayanStorm,3
2019,Andreas,1088807,Viennese Agents,14
2019,Chris,1191284,How I Lucked Your Mother,4
2019,romain,1360516,Fins High Motors,1
2019,Rochas,2012141,Pats dream,7
2019,Lorenzo,2017413,Brindisi Deers,11
2019,DB,2442650,Mouth Brieda,10
2019,Matt,3190107,The Goshawks,9
2019,Tomas,5892024,Redneck Bama,12
2019,LUCIAN,7582304,Red Rockets,2
2019,Michael,7611079,VaJJ 2 - MegaBallers Studfarm,16
2019,Francesco,10808626,Vauxhall Desperados,13
2019,Ignacio,12608269,Thunder Clowns,17
2018,Jody,271999,San Fran Man,5
2018,Dajuan,276726,Gang Green,6
2018,Waso,378644,Philly Special,15
2018,John,793573,The Huskies,8
2018,Ken,827363,MayanStorm,3
2018,Andreas,1088807,Viennese Agents,14
2018,Chris,1191284,How I Lucked Your Mother,4
2018,romain,1360516,Fins High Motors,1
2018,Rochas,2012141,Pats dream,7
2018,Lorenzo,2017413,Brindisi Deers,11
2018,Matt,3190107,Goshawks,9
2018,Tomas,5892024,Redneck Bama,12
2018,LUCIAN,7582304,Red Rockets,2
2018,Michael,7611079,VaJJ 2,16
2018,Francesco,10808626,Vauxhall Desperados,13
2018,Ignacio,12608269,Thunder Clowns,17
2017,Jody,271999,San Fran Man,5
2017,Dajuan,276726,Gang Green,6
2017,John,793573,The Huskies,8
2017,Ken,827363,MayanStorm,3
2017,Andreas,1088807,Viennese Agents,14
2017,romain,1360516,Fins High Motors,1
2017,Rochas,2012141,Pats dream,7
2017,Lorenzo,2017413,Brindisi Deers,11
2017,DB,2442650,Pigskin Wizard,13
2017,Charlie,2466210,The Irishmen,15
2017,Matt,3190107,Goshawks,9
2017,Justin,3237775,South Side Spanky's,4
2017,Tomas,5892024,Redneck Bama,12
2017,LUCIAN,7582304,Red Rockets,2
2017,Michael,7611079,VaJJ 2,16
2017,Ignacio,12608269,Thunder Clowns,17
2016,Jody,271999,San Fran Man,5
2016,Dajuan,276726,Gang Green,6
2016,John,793573,The Huskies,8
2016,Ken,827363,MayanStorm,3
2016,Andreas,1088807,Viennese Agents,14
2016,romain,1360516,Fins High Motors,1
2016,Rochas,2012141,Pats dream,7
2016,Lorenzo,2017413,Brindisi Deers,11
2016,DB,2442650,Pigskin Wizard,13
2016,Charlie,2466210,The Irishmen,15
2016,Matt,3190107,Goshawks,9
2016,Justin,3237775,South Side Spanky's,4
2016,Tomas,5892024,Redneck Bama,12
2016,LUCIAN,7582304,Red Rockets,2
2016,Michael,7611079,VaJJ 2,16
2016,Ignacio,12608269,Thunder Clowns,17
2015,Jody,271999,San Fran Man,5
2015,Dajuan,276726,Gang Green,6
2015,Waso,378644,Blitzzz,17
2015,John,793573,The Huskies,8
2015,Andreas,1088807,Viennese Agents,14
2015,romain,1360516,Fins High Motors,1
2015,Rochas,2012141,Pats dream,7
2015,Lorenzo,2017413,Brindisi Deers,11
2015,DB,2442650,Pigskin Wizard,13
2015,Charlie,2466210,The Irishmen,15
2015,Matt,3190107,Goshawks,9
2015,Justin,3237775,South Side Spanky's,4
2015,Gary,3733263,Bull Sharks,16
2015,Tomas,5892024,Redneck Bama,12
2015,gary,8002208,Canadian Jets,10
2015,Ali,10711726,Kush,2
2014,Justin,142235,Mighty Titans,10
2014,Jody,271999,San Fran Man,5
2014,Dajuan,276726,Gang Green,6
2014,Waso,378644,blitzz,17
2014,John,793573,The Huskies,8
2014,Andreas,1088807,Viennese Agents,14
2014,Steve,1341692,Eagles3,2
2014,romain,1360516,Fins High Motors,1
2014,Rochas,2012141,Pats dream,7
2014,Lorenzo,2017413,Brindisi Deers,11
2014,DB,2442650,Harbaugh Handshakes,13
2014,Charlie,2466210,The Irishmen,15
2014,Matt,3190107,Goshawks,9
2014,Justin,3237775,South Side Spanky's,4
2014,Gary,3733263,Bull Sharks,16
2014,Tomas,5892024,Redneck Bama,12
2013,Justin,142235,Mighty Titans,10
2013,Jody,271999,San Fran Man,5
2013,Dajuan,276726,Gang Green,6
2013,Waso,378644,blitzz,17
2013,John,793573,The Huskies,8
2013,Andreas,1088807,Viennese Agents,14
2013,Steve,1341692,Eagles3,2
2013,romain,1360516,Fins High Motors,1
2013,Rochas,2012141,Pats dream,7
2013,Lorenzo,2017413,Brindisi Deers,11
2013,DB,2442650,Harbaugh Handshakes,13
2013,Jared,2931218,Liquid Avalanche,15
2013,Justin,3237775,South Side Spanky's,4
2013,Gary,3733263,BullSharks,16
2013,Robert,4880036,Studdering Stanley,3
2013,Tomas,5892024,Redneck Bama,12
2012,Dajuan,276726,Dirty Sanchizee,6
2012,Waso,378644,bonecrushin' blitzz,12
2012,John,793573,The Huskies,8
2012,Wesley,1059914,groundpounders,4
2012,Andreas,1088807,Viennese Agents,14
2012,Steve,1341692,Eagles3,2
2012,romain,1360516,Fins High Motors,1
2012,Yehia,1452033,Gotham City Rogues,3
2012,Christopher,1608834,Badnews Buckeyes,10
2012,Rochas,2012141,Pats dream,7
2012,Lorenzo,2017413,Brindisi Deers,11
2012,David,2180569,oy absinthe,5
2012,Dominic,2257022,Billievers,15
2012,DB,2442650,Isaiah Pead His Pants,13
2012,Matt,3190107,The Goshawks,9
2012,Gary,3733263,Bull Sharks,16
2011,travis,147885,Ngata Problem Flacco,3
2011,Scott,167910,West Coast Hoosiers,12
2011,Dajuan,276726,Dirty Sanchizee,6
2011,John,793573,The Huskies,8
2011,Ben,1005358,Bens Bucs,13
2011,Wesley,1059914,GroundPounders,4
2011,Andreas,1088807,Viennese Agents,14
2011,Steve,1341692,Eagles3,2
2011,romain,1360516,Fins High Motors,1
2011,Nick,1386303,EskimoBrother,9
2011,Christopher,1608834,Colt's Crew,10
2011,Noah,1783643,Maple Syrup Suprise,16
2011,Rochas,2012141,Pats dream,7
2011,Lorenzo,2017413,Brindisi Deers,11
2011,Ross,2038439,Pats,15
2011,David,2180569,oy absinthe,5
2010,Dajuan,276726,Dirty Sanchizee,6
2010,Monterrius,456417,Team Jackson 4,12
2010,Tyler,675498,Ninja Turtles,11
2010,John,793573,The Huskies,8
2010,Phillip,1085222,Fishermen,3
2010,Andreas,1088807,Viennese Agents,14
2010,Young,1305209,Carolinas Finest,15
2010,Steve,1341692,EAGLES2,7
2010,romain,1360516,Phins High Motors,1
2010,Dewayne,1375271,Georgia Rage,10
2010,Mr Chas,1376451,Pats' Dream,2
2010,Graeme,1383411,Bungles,4
2010,jesse,1386260,Donkey Ropers,5
2010,Nick,1386303,EskimoBrother,9
2010,alex,1386356,FLACCOS TACO,13
2010,dale,1386369,ThunderStomp,16
